backend,concurrency,payload_bytes,rest_p99_ms,rest_p99_ci95,grpc_p99_ms,grpc_p99_ci95,grpc_improvement_pct,mannwhitney_p,ci_verdict
mongo,10,100,60.9711,0.6561,29.8479,3.9188,51.0458,0.0000,grpc faster (CIs disjoint)
mongo,10,1000,63.1742,3.4843,32.6923,2.2838,48.2506,0.0000,grpc faster (CIs disjoint)
mongo,10,10000,62.6125,0.7892,34.8755,0.7389,44.2995,0.0000,grpc faster (CIs disjoint)
mongo,50,100,1409.3184,242.4340,126.3762,36.5774,91.0328,0.0000,grpc faster (CIs disjoint)
mongo,50,1000,1340.0864,219.8412,114.5774,1.1227,91.4500,0.0000,grpc faster (CIs disjoint)
mongo,50,10000,1554.4387,209.2726,130.8298,3.2944,91.5835,0.0000,grpc faster (CIs disjoint)
mongo,100,100,2285.8460,426.7483,191.5845,1.6844,91.6187,0.0000,grpc faster (CIs disjoint)
mongo,100,1000,3029.5037,427.0192,207.7907,12.8167,93.1411,0.0000,grpc faster (CIs disjoint)
mongo,100,10000,2484.0049,517.9765,219.3059,14.5618,91.1713,0.0000,grpc faster (CIs disjoint)
postgres,10,100,58.0888,2.7969,13.9023,1.2389,76.0672,0.0000,grpc faster (CIs disjoint)
postgres,10,1000,58.0024,0.6744,14.1376,2.7593,75.6259,0.0000,grpc faster (CIs disjoint)
postgres,10,10000,60.8469,0.8052,13.8007,0.4510,77.3189,0.0000,grpc faster (CIs disjoint)
postgres,50,100,1236.2156,301.6602,53.2467,2.7926,95.6928,0.0000,grpc faster (CIs disjoint)
postgres,50,1000,1247.0599,226.2883,59.8284,5.7554,95.2024,0.0000,grpc faster (CIs disjoint)
postgres,50,10000,1262.8518,295.3501,57.5090,4.7526,95.4461,0.0000,grpc faster (CIs disjoint)
postgres,100,100,2511.8559,451.0807,101.3749,13.5659,95.9641,0.0000,grpc faster (CIs disjoint)
postgres,100,1000,1952.4371,297.3694,94.1444,4.3857,95.1781,0.0000,grpc faster (CIs disjoint)
postgres,100,10000,2448.3019,481.1585,105.4334,9.1271,95.6936,0.0000,grpc faster (CIs disjoint)
redis,10,100,56.3096,1.8713,13.1771,1.1658,76.5988,0.0000,grpc faster (CIs disjoint)
redis,10,1000,56.4224,1.2593,13.4814,1.5043,76.1062,0.0000,grpc faster (CIs disjoint)
redis,10,10000,56.7280,1.5564,21.8777,19.4840,61.4340,0.0000,grpc faster (CIs disjoint)
redis,50,100,1282.1661,297.9820,50.9700,3.3114,96.0247,0.0000,grpc faster (CIs disjoint)
redis,50,1000,1213.8533,258.1356,51.1674,1.1833,95.7847,0.0000,grpc faster (CIs disjoint)
redis,50,10000,1526.1771,105.7164,51.9641,1.6656,96.5951,0.0000,grpc faster (CIs disjoint)
redis,100,100,2705.1685,822.8246,93.5134,8.8546,96.5432,0.0000,grpc faster (CIs disjoint)
redis,100,1000,2614.5694,1242.8577,101.8669,10.5968,96.1039,0.0000,grpc faster (CIs disjoint)
redis,100,10000,3248.1088,656.7382,106.9586,12.3592,96.7070,0.0000,grpc faster (CIs disjoint)
